ENSEMBL Gene ID	Gene symbol	siUPF1LL vs NT log2(fold change)	False discovery rate (FDR)
ENSG00000079313	REXO1	0.41495879	1.11718E-05
ENSG00000079332	SAR1A	-0.074865783	0.17836603
ENSG00000079335	CDC14A	-0.018247944	0.840914515
ENSG00000079337	RAPGEF3	0.532952123	0.114697952
ENSG00000079387	SENP1	0.148640328	0.025899674
ENSG00000079432	CIC	0.343984579	0.000166696
ENSG00000079435	LIPE	0.321211299	0.104872176
ENSG00000079459	FDFT1	-0.052050842	0.328913031
ENSG00000079462	PAFAH1B3	0.440885232	1.33636E-05
ENSG00000079482	OPHN1	-0.627597986	1.77588E-05
ENSG00000079616	KIF22	-0.120385277	0.03678931
ENSG00000079691	LRRC16A	-0.177773943	0.031033802
ENSG00000079739	PGM1	-0.069057216	0.27500464
ENSG00000079785	DDX1	-0.686571213	5.82E-10
ENSG00000079805	DNM2	-0.036433908	0.540753697
ENSG00000079819	EPB41L2	0.198161353	0.02045697
ENSG00000079841	RIMS1	0.372641041	0.20784838
ENSG00000079931	MOXD1	-1.07404096	1.48E-09
ENSG00000079950	STX7	0.432230909	5.28828E-05
ENSG00000079974	RABL2B	0.080170352	0.498508331
ENSG00000079999	KEAP1	0.531225705	5.05E-08
ENSG00000080189	SLC35C2	0.359006959	5.38701E-05
ENSG00000080200	CRYBG3	0.237634698	0.015788792
ENSG00000080224	EPHA6	-0.649332957	0.000092104
ENSG00000080298	RFX3	0.043710001	0.848047828
ENSG00000080345	RIF1	-0.363244966	5.60E-07
ENSG00000080371	RAB21	-0.135988257	0.077811651
ENSG00000080493	SLC4A4	-0.300369199	0.042887871
ENSG00000080503	SMARCA2	-0.126337703	0.109617871
ENSG00000080546	SESN1	0.458007617	8.34E-06
ENSG00000080561	MID2	-0.182342926	0.048091199
ENSG00000080603	SRCAP	0.180981153	0.039373675
ENSG00000080608	KIAA0020	-0.66336155	3.20E-08
ENSG00000080644	CHRNA3	0.097773536	0.587921391
ENSG00000080802	CNOT4	0.382152373	2.14745E-05
ENSG00000080815	PSEN1	-0.199659434	0.005218634
ENSG00000080819	CPOX	-0.649107266	5.35E-07
ENSG00000080822	CLDND1	-0.004931861	0.957771609
ENSG00000080823	MOK	0.033346043	0.75432159
ENSG00000080824	HSP90AA1	-0.409822267	2.12E-06
ENSG00000080839	RBL1	0.074929367	0.290126872
ENSG00000080845	DLGAP4	0.611657883	0.000420437
ENSG00000080854	IGSF9B	0.522975436	0.002910547
ENSG00000080947	CROCCP3	0.371445252	0.118889486
ENSG00000080986	NDC80	-0.181116888	0.019205321
ENSG00000081014	AP4E1	-0.442194516	0.000122703
ENSG00000081019	RSBN1	0.059296416	0.472413426
ENSG00000081026	MAGI3	-0.036208014	0.580986741
ENSG00000081052	COL4A4	0.091380708	0.742552624
ENSG00000081059	TCF7	-0.08501843	0.538919436
ENSG00000081087	OSTM1	-0.081980663	0.405615923
ENSG00000081138	CDH7	0.530835388	0.038233215
ENSG00000081154	PCNP	-0.237037413	0.032857603
ENSG00000081177	EXD2	-0.264751103	0.00159621
ENSG00000081181	ARG2	-0.150771451	0.097801787
ENSG00000081189	MEF2C	-0.649884777	9.89E-07
ENSG00000081307	UBA5	-0.101187646	0.246539881
ENSG00000081320	STK17B	-0.180864542	0.026745402
ENSG00000081377	CDC14B	-0.017187352	0.80283975
ENSG00000081386	ZNF510	0.06799124	0.514940616
ENSG00000081479	LRP2	0.576603797	7.27E-07
ENSG00000081665	ZNF506	0.183280823	0.358373358
ENSG00000081692	JMJD4	-0.265800254	0.001238583
ENSG00000081721	DUSP12	0.108738012	0.166167015
ENSG00000081760	AACS	0.255948862	0.003025655
ENSG00000081791	KIAA0141	-0.045644843	0.577310638
ENSG00000081803	CADPS2	0.073609332	0.390450223
ENSG00000081870	HSPB11	-0.087434357	0.309298113
ENSG00000081913	PHLPP1	0.058268394	0.474523441
ENSG00000081923	ATP8B1	-0.356528127	0.161193919
ENSG00000081985	IL12RB2	-0.978352562	4.73E-06
ENSG00000082014	SMARCD3	0.522139663	3.56E-06
ENSG00000082068	WDR70	-0.299503474	0.000466378
ENSG00000082146	STRADB	-0.039288275	0.558445731
ENSG00000082153	BZW1	-0.176374963	0.002158326
ENSG00000082212	ME2	-0.217265177	0.001375327
ENSG00000082213	C5orf22	0.087195692	0.188937988
ENSG00000082258	CCNT2	-0.116763045	0.115519187
ENSG00000082269	FAM135A	-0.047157722	0.485840327
ENSG00000082293	COL19A1	0.262374676	0.385774464
ENSG00000082397	EPB41L3	0.053595568	0.390926384
ENSG00000082438	COBLL1	-0.034394552	0.696484916
ENSG00000082458	DLG3	0.379780785	3.26859E-05
ENSG00000082497	SERTAD4	0.37988069	0.000190263
ENSG00000082512	TRAF5	-0.162455662	0.120756242
ENSG00000082515	MRPL22	-0.117869013	0.199973105
ENSG00000082516	GEMIN5	-0.781345823	1.11E-10
ENSG00000082641	NFE2L1	0.217376335	0.00048832
ENSG00000082701	GSK3B	0.324876855	1.36278E-05
ENSG00000082781	ITGB5	0.358274569	0.000210906
ENSG00000082805	ERC1	0.603003864	7.49E-07
ENSG00000082898	XPO1	-0.236876699	0.00002237
ENSG00000082996	RNF13	-0.099401015	0.175358319
ENSG00000083093	PALB2	0.091970614	0.202842833
ENSG00000083097	DOPEY1	0.015292252	0.862381054
ENSG00000083099	LYRM2	-0.161851991	0.012376037
ENSG00000083123	BCKDHB	-0.37389063	0.001150202
ENSG00000083168	KAT6A	0.288663808	2.88592E-05
ENSG00000083223	ZCCHC6	0.26583239	0.000885834
ENSG00000083290	ULK2	0.250830486	0.02082383
ENSG00000083312	TNPO1	-0.192727388	0.00148484
ENSG00000083444	PLOD1	-0.027869539	0.670176741
ENSG00000083457	ITGAE	0.305693739	0.001251045
ENSG00000083520	DIS3	-0.147134479	0.00315342
ENSG00000083535	PIBF1	0.245372168	0.002326402
ENSG00000083544	TDRD3	-0.028287495	0.826069148
ENSG00000083635	NUFIP1	-0.610781383	3.30E-06
ENSG00000083642	PDS5B	0.089623973	0.238348913
ENSG00000083720	OXCT1	-0.834767878	3.28E-09
ENSG00000083750	RRAGB	0.436900722	0.002515448
ENSG00000083799	CYLD	-0.436126383	3.99E-06
ENSG00000083807	SLC27A5	0.016333471	0.931177357
ENSG00000083812	ZNF324	-0.13221435	0.13840431
ENSG00000083817	ZNF416	-1.37942103	5.50E-06
ENSG00000083828	ZNF586	-1.101001904	6.78E-07
ENSG00000083838	ZNF446	0.171240829	0.115043867
ENSG00000083844	ZNF264	-0.401064553	0.004570087
ENSG00000083845	RPS5	-0.458741366	1.68E-08
ENSG00000083857	FAT1	-0.064217586	0.311277468
ENSG00000083896	YTHDC1	-0.261913183	0.000137985
ENSG00000083937	CHMP2B	0.030942142	0.764429642
ENSG00000084070	SMAP2	-0.316153654	0.000181148
ENSG00000084072	PPIE	0.179803142	0.014274097
ENSG00000084073	ZMPSTE24	-0.163156337	0.029119429
ENSG00000084090	STARD7	-0.188345211	0.000181637
ENSG00000084092	NOA1	-0.061797939	0.381134111
ENSG00000084093	REST	-0.061651975	0.408533503
ENSG00000084112	SSH1	0.000875875	0.994883742
ENSG00000084207	GSTP1	0.765922201	1.39E-10
ENSG00000084234	APLP2	0.217643927	0.000068883
ENSG00000084444	KIAA1467	0.983439681	1.65E-10
ENSG00000084463	WBP11	0.239132813	0.000114805
ENSG00000084623	EIF3I	-0.161424076	0.002444628
ENSG00000084628	NKAIN1	0.122548608	0.375885045
ENSG00000084652	TXLNA	-0.348868119	1.81E-06
ENSG00000084676	NCOA1	0.49971181	1.22E-06
ENSG00000084693	AGBL5	-0.015179152	0.806139499
ENSG00000084710	EFR3B	0.284613039	0.045637369
ENSG00000084731	KIF3C	0.979306231	4.15E-09
ENSG00000084733	RAB10	0.059887012	0.359326925
ENSG00000084754	HADHA	0.155025637	0.005228925
ENSG00000084764	MAPRE3	0.237956082	0.171609328
ENSG00000084774	CAD	-0.213579897	0.002631101
ENSG00000085063	CD59	0.260828346	0.000182942
ENSG00000085185	BCORL1	0.218101858	0.06986009
ENSG00000085224	ATRX	0.290003976	9.53089E-05
ENSG00000085231	TAF9	-0.34321623	1.51397E-05
ENSG00000085274	MYNN	-0.042178569	0.68164141
ENSG00000085276	MECOM	0.337018493	0.000111339
ENSG00000085365	SCAMP1	-0.144618668	0.25854055
ENSG00000085377	PREP	0.026391393	0.784155505
ENSG00000085382	HACE1	0.555254764	2.61065E-05
ENSG00000085415	SEH1L	-0.639493094	3.06E-08
ENSG00000085433	WDR47	0.687793304	5.66E-08
ENSG00000085449	WDFY1	0.170001138	0.006793916
ENSG00000085465	OVGP1	0.297107432	0.245865094
ENSG00000085491	SLC25A24	-0.299359947	0.001265339
ENSG00000085511	MAP3K4	-0.117887536	0.044030758
ENSG00000085563	ABCB1	0.243830251	0.011544102
ENSG00000085644	ZNF213	0.134098196	0.214501184
ENSG00000085662	AKR1B1	0.031898169	0.562383832
ENSG00000085719	CPNE3	-0.444481427	1.36E-06
ENSG00000085721	RRN3	-0.337860736	4.71902E-05
ENSG00000085733	CTTN	-0.033979567	0.543078012
ENSG00000085741	WNT11	-0.220893511	0.249101988
ENSG00000085760	MTIF2	-0.083397198	0.219595549
ENSG00000085788	DDHD2	-0.747592925	4.26E-09
ENSG00000085831	TTC39A	0.846621104	8.59E-07
ENSG00000085832	EPS15	0.200923365	0.008957615
ENSG00000085840	ORC1	-0.405121799	2.00E-06
ENSG00000085871	MGST2	-0.642692335	4.16E-06
ENSG00000085872	CHERP	0.219478946	0.074725844
ENSG00000085978	ATG16L1	-0.499671077	1.24E-06
ENSG00000085982	USP40	-0.206555243	0.006253242
ENSG00000085998	POMGNT1	0.243330108	0.001649877
ENSG00000085999	RAD54L	-0.097984765	0.242814058
ENSG00000086015	MAST2	1.060185973	5.66E-10
ENSG00000086061	DNAJA1	-0.395728757	1.93E-07
ENSG00000086062	B4GALT1	-0.140194113	0.218273613
ENSG00000086065	CHMP5	0.066700008	0.319036101
ENSG00000086102	NFX1	-0.114957225	0.053768227
ENSG00000086189	DIMT1	-0.708297294	1.92E-08
ENSG00000086200	IPO11	-0.429427868	0.000059733
ENSG00000086232	EIF2AK1	-0.268596055	0.00019568
ENSG00000086289	EPDR1	-1.328684439	2.06E-07
ENSG00000086300	SNX10	0.769208757	0.000108502
ENSG00000086475	SEPHS1	0.19925805	0.005301615
ENSG00000086504	MRPL28	-0.084057733	0.204953319
ENSG00000086506	HBQ1	-1.128113186	0.002334517
ENSG00000086544	ITPKC	0.621725561	5.57E-06
ENSG00000086589	RBM22	-0.108532369	0.050079959
ENSG00000086598	TMED2	-0.135490428	0.031222293
ENSG00000086619	ERO1LB	0.225843315	0.066262838
ENSG00000086666	ZFAND6	0.057059674	0.505952588
ENSG00000086712	TXLNG	-0.444576739	2.60E-07
ENSG00000086730	LAT2	-0.216192841	0.436569987
ENSG00000086758	HUWE1	0.478780693	5.41E-07
ENSG00000086827	ZW10	-0.193016075	0.002561492
ENSG00000086848	ALG9	0.146554697	0.349602513
ENSG00000087008	ACOX3	-0.170234841	0.101320203
ENSG00000087053	MTMR2	-0.200272331	0.005908602
ENSG00000087074	PPP1R15A	0.845459013	1.88E-08
ENSG00000087077	TRIP6	0.246672026	0.000549676
ENSG00000087085	ACHE	-0.238943716	0.474164481
ENSG00000087086	FTL	0.95749435	2.06E-12
ENSG00000087087	SRRT	-0.070744659	0.172356018
ENSG00000087088	BAX	0.504915535	3.18E-07
ENSG00000087095	NLK	0.41889811	2.32861E-05
ENSG00000087111	PIGS	0.433930131	6.55E-07
ENSG00000087116	ADAMTS2	0.337507997	0.102991589
ENSG00000087152	ATXN7L3	0.212174778	0.000949028
ENSG00000087157	PGS1	-0.008357958	0.932997671
ENSG00000087191	PSMC5	0.516830471	2.79E-06
ENSG00000087206	UIMC1	0.049904461	0.496279468
ENSG00000087245	MMP2	0.688292012	0.009195087
ENSG00000087253	LPCAT2	0.207106754	0.055325734
ENSG00000087258	GNAO1	0.170402054	0.598123816
ENSG00000087263	OGFOD1	-0.568144927	5.20E-08
ENSG00000087266	SH3BP2	-0.029338014	0.77890837
ENSG00000087269	NOP14	-0.405859723	4.11E-07
ENSG00000087274	ADD1	0.093034708	0.066974062
ENSG00000087299	L2HGDH	0.544750593	7.63E-06
ENSG00000087301	TXNDC16	-0.366673816	0.000398583
ENSG00000087302	C14orf166	-0.097348888	0.069470856
ENSG00000087303	NID2	0.19793719	0.011710414
ENSG00000087338	GMCL1	0.476450463	6.55E-06
ENSG00000087365	SF3B2	-0.168493221	0.001209947
ENSG00000087448	KLHL42	-0.458907862	2.08103E-05
ENSG00000087460	GNAS	0.031807004	0.450862294
ENSG00000087470	DNM1L	-0.056613045	0.312189055
ENSG00000087495	PHACTR3	-0.024665679	0.920970723
ENSG00000087502	ERGIC2	-0.033837182	0.661365598
ENSG00000087510	TFAP2C	0.408565484	0.026390111
ENSG00000087586	AURKA	-0.490199697	4.16E-08
ENSG00000087842	PIR	1.847662785	3.89E-13
ENSG00000087884	AAMDC	0.332656587	0.006810979
ENSG00000087903	RFX2	0.696290964	0.000175387
ENSG00000087995	METTL2A	-0.003987666	0.960931942
ENSG00000088035	ALG6	-0.494722755	2.05E-06
ENSG00000088038	CNOT3	0.297731762	0.002988855
ENSG00000088179	PTPN4	0.519407456	2.84E-06
ENSG00000088205	DDX18	-1.015108672	6.34E-12
ENSG00000088247	KHSRP	-0.218262208	0.00021213
ENSG00000088256	GNA11	0.086166736	0.124930944
ENSG00000088280	ASAP3	0.535434475	0.000163374
ENSG00000088298	EDEM2	0.078829086	0.351953731
ENSG00000088305	DNMT3B	0.293437357	0.000249619
ENSG00000088325	TPX2	-0.26729897	1.49051E-05
ENSG00000088356	PDRG1	0.036377198	0.769340541
ENSG00000088367	EPB41L1	0.485885692	6.10E-06
ENSG00000088387	DOCK9	0.28296581	0.001410398
ENSG00000088448	ANKRD10	-0.07893498	0.501885928
ENSG00000088451	TGDS	0.104386539	0.147127972
ENSG00000088538	DOCK3	0.305576679	0.003074013
ENSG00000088682	COQ9	-0.376528968	1.33289E-05
ENSG00000088727	KIF9	-0.316942214	0.045911794
ENSG00000088756	ARHGAP28	0.306885137	0.029911238
ENSG00000088766	CRLS1	-0.337958627	3.19098E-05
ENSG00000088808	PPP1R13B	0.624186303	5.50E-07
ENSG00000088812	ATRN	0.255071449	0.000255872
ENSG00000088826	SMOX	0.778061624	1.63949E-05
ENSG00000088832	FKBP1A	-0.049427531	0.498277964
ENSG00000088833	NSFL1C	0.643141971	1.45E-07
ENSG00000088836	SLC4A11	0.681252394	0.000439758
ENSG00000088854	C20orf194	0.378361077	0.002212942
ENSG00000088876	ZNF343	-0.331716961	0.005661387
ENSG00000088881	EBF4	-0.184111985	0.498788082
ENSG00000088888	MAVS	0.174713438	0.018643303
ENSG00000088899	LZTS3	0.070368812	0.422659111
ENSG00000088930	XRN2	-0.48014574	3.55E-08
ENSG00000088970	PLK1S1	0.02781811	0.799777068
ENSG00000088986	DYNLL1	-0.071699448	0.225613547
ENSG00000088992	TESC	0.416432852	0.02157237
ENSG00000089006	SNX5	-0.453029902	1.07E-07
ENSG00000089009	RPL6	-0.41623612	1.00E-08
ENSG00000089022	MAPKAPK5	0.005950509	0.940532573
ENSG00000089048	ESF1	-0.847753246	5.68E-09
ENSG00000089050	RBBP9	-0.352515224	4.85815E-05
ENSG00000089053	ANAPC5	-0.102414702	0.047218555
ENSG00000089057	SLC23A2	-0.274493972	0.000235925
ENSG00000089060	SLC8B1	0.593346933	0.000279655
ENSG00000089063	TMEM230	0.613544036	1.16E-08
ENSG00000089091	DZANK1	0.37656334	0.10317237
ENSG00000089094	KDM2B	0.090044671	0.169203891
ENSG00000089123	TASP1	0.247957202	0.04055315
ENSG00000089154	GCN1L1	0.045598214	0.383915138
ENSG00000089157	RPLP0	0.354314492	1.52E-07
ENSG00000089159	PXN	0.558349535	2.19E-06
ENSG00000089163	SIRT4	0.581922591	0.01256764
ENSG00000089177	KIF16B	0.197076385	0.075625613
ENSG00000089195	TRMT6	-0.269453414	0.000662141
ENSG00000089220	PEBP1	0.145134111	0.00478988
ENSG00000089234	BRAP	0.252728386	0.000913037
ENSG00000089248	ERP29	0.358772173	2.88E-06
ENSG00000089280	FUS	-0.291345008	0.000721748
ENSG00000089289	IGBP1	-0.258065685	0.001481358
ENSG00000089327	FXYD5	0.437320621	8.98014E-05
ENSG00000089335	ZNF302	-0.3921534	0.000139249
ENSG00000089351	GRAMD1A	-0.297625865	0.003242885
ENSG00000089486	CDIP1	-0.567887347	2.72E-07
ENSG00000089505	CMTM1	0.117224367	0.664880544
ENSG00000089597	GANAB	0.096014053	0.09617869
ENSG00000089639	GMIP	1.128201744	2.83895E-05
ENSG00000089682	RBM41	0.079780045	0.267841009
ENSG00000089685	BIRC5	-0.395815444	5.86E-07
ENSG00000089693	MLF2	-0.132117429	0.014338226
ENSG00000089723	OTUB2	-0.014302451	0.924286295
ENSG00000089737	DDX24	-0.431342882	5.09E-08
ENSG00000089775	ZBTB25	-0.255842123	0.011684387
ENSG00000089818	NECAP1	0.139710131	0.033928733
ENSG00000089820	ARHGAP4	0.621885713	0.047332944
ENSG00000089876	DHX32	0.058105217	0.424365305
ENSG00000089902	RCOR1	0.082277988	0.22288363
ENSG00000089916	GPATCH2L	0.011683153	0.863169871
ENSG00000090006	LTBP4	0.633948553	1.16102E-05
ENSG00000090013	BLVRB	1.713944446	4.93E-12
ENSG00000090020	SLC9A1	0.417510608	0.000237026
ENSG00000090054	SPTLC1	0.001701722	0.981229667
ENSG00000090060	PAPOLA	-0.192034544	0.001025879
ENSG00000090061	CCNK	0.255932268	0.013721569
ENSG00000090097	PCBP4	0.132621622	0.338731453
ENSG00000090238	YPEL3	0.78339042	5.27E-06
ENSG00000090263	MRPS33	-0.032046119	0.671513915
ENSG00000090266	NDUFB2	-0.14573401	0.019832772
ENSG00000090273	NUDC	-0.058608234	0.373776507
ENSG00000090316	MAEA	-0.277138964	0.000476036
ENSG00000090372	STRN4	-0.088838175	0.15213025
ENSG00000090432	MUL1	0.406403224	5.18691E-05
ENSG00000090447	TFAP4	-0.233973341	0.016035753
ENSG00000090470	PDCD7	-0.19528441	0.031102842
ENSG00000090487	SPG21	-0.618374753	2.46E-07
ENSG00000090520	DNAJB11	-0.01473404	0.841573571
ENSG00000090530	LEPREL1	0.388307969	0.014375972
ENSG00000090539	CHRD	0.83066884	0.000171535
ENSG00000090565	RAB11FIP3	0.056079398	0.416703766
ENSG00000090581	GNPTG	0.845054753	2.46E-06
ENSG00000090612	ZNF268	-1.124035328	3.28E-10
ENSG00000090615	GOLGA3	0.130618922	0.018831898
ENSG00000090621	PABPC4	-0.458032259	1.25E-07
ENSG00000090661	CERS4	0.302914154	0.009196521
ENSG00000090674	MCOLN1	0.901853879	5.02004E-05
ENSG00000090686	USP48	-0.142120086	0.061185618
ENSG00000090776	EFNB1	-0.143149877	0.095017327
ENSG00000090857	PDPR	0.53606848	1.19E-06
ENSG00000090861	AARS	-0.241909143	0.000315525
ENSG00000090863	GLG1	0.392778532	7.12E-07
ENSG00000090889	KIF4A	0.087249884	0.129372913
ENSG00000090905	TNRC6A	0.091707671	0.134093654
ENSG00000090924	PLEKHG2	0.566941449	1.62E-06
ENSG00000090932	DLL3	0.092254374	0.525578213
ENSG00000090971	NAT14	-0.386547488	0.000220395
ENSG00000090975	PITPNM2	0.12202277	0.462083057
ENSG00000090989	EXOC1	-0.363234565	0.000136109
ENSG00000091009	RBM27	-0.014961822	0.815108312
ENSG00000091039	OSBPL8	0.001220387	0.99052359
ENSG00000091073	DTX2	0.594230392	0.001104094
ENSG00000091127	PUS7	-1.005899936	2.62E-11
ENSG00000091129	NRCAM	0.295895261	0.001908226
ENSG00000091136	LAMB1	0.180468956	0.007142154
ENSG00000091140	DLD	-0.254366193	0.000360243
ENSG00000091157	WDR7	-0.016234851	0.864040183
ENSG00000091164	TXNL1	0.335406869	0.000150675
ENSG00000091262	ABCC6	0.981256318	0.000758301
ENSG00000091317	CMTM6	0.361380646	2.66E-06
ENSG00000091409	ITGA6	-0.289985999	0.000391408
ENSG00000091428	RAPGEF4	-0.146741429	0.265017982
ENSG00000091436	MLTK	-0.003473801	0.960033192
ENSG00000091483	FH	-0.421928365	6.80E-07
ENSG00000091490	SEL1L3	0.522678998	1.65E-06
ENSG00000091527	CDV3	0.364362312	3.00E-07
ENSG00000091542	ALKBH5	0.455108402	1.18E-07
ENSG00000091592	NLRP1	0.448074046	0.001864553
ENSG00000091622	PITPNM3	0.865527225	0.000492651
ENSG00000091640	SPAG7	0.441707162	0.00010216
ENSG00000091651	ORC6	-0.051501704	0.45198387
ENSG00000091656	ZFHX4	0.072552532	0.37483821
ENSG00000091732	ZC3HC1	-0.373436605	1.44694E-05
ENSG00000091844	RGS17	-0.683067897	0.000654821
ENSG00000091947	TMEM101	0.275724048	0.002157574
ENSG00000091986	CCDC80	0.872337384	1.60311E-05
ENSG00000092010	PSME1	0.685699723	1.30E-08
ENSG00000092020	PPP2R3C	0.030599896	0.764094922
ENSG00000092036	HAUS4	0.23721357	0.04247204
ENSG00000092068	SLC7A8	1.107172837	3.08E-08
ENSG00000092094	OSGEP	-0.138767442	0.063724657
ENSG00000092096	SLC22A17	0.548268681	0.006243122
ENSG00000092098	RNF31	-0.00891971	0.941960012
ENSG00000092108	SCFD1	0.163056899	0.01348143
ENSG00000092140	G2E3	-0.059672065	0.57998059
ENSG00000092148	HECTD1	-0.05119545	0.311813519
ENSG00000092199	HNRNPC	-0.316740895	3.00E-07
ENSG00000092201	SUPT16H	-0.477520934	1.68E-08
ENSG00000092203	TOX4	-0.086405088	0.165230164
ENSG00000092208	GEMIN2	-0.34825887	7.09103E-05
ENSG00000092330	TINF2	-0.136134351	0.069727529
ENSG00000092421	SEMA6A	0.119687878	0.102131679
ENSG00000092439	TRPM7	0.402707059	2.04E-06
ENSG00000092445	TYRO3	0.688420058	3.23E-08
ENSG00000092470	WDR76	0.197902588	0.015818574
ENSG00000092531	SNAP23	0.195456405	0.030065553
ENSG00000092621	PHGDH	-0.561376068	4.09E-08
ENSG00000092820	EZR	-0.047777221	0.381094187
ENSG00000092841	MYL6	0.29995332	1.11E-06
ENSG00000092847	AGO1	1.195008176	2.53E-11
ENSG00000092853	CLSPN	-0.294824625	8.13019E-05
ENSG00000092871	RFFL	0.700373121	7.49E-07
ENSG00000092931	MFSD11	-0.075620056	0.36700589
ENSG00000092964	DPYSL2	0.319337469	2.46217E-05
ENSG00000092969	TGFB2	-0.560501805	0.076710939
ENSG00000092978	GPATCH2	-0.139077477	0.066237515
ENSG00000093000	NUP50	-0.285550166	1.91057E-05
ENSG00000093009	CDC45	-0.051963435	0.407516776
ENSG00000093010	COMT	-0.488477067	1.06043E-05
ENSG00000093144	ECHDC1	-0.319169497	0.000517561
ENSG00000093167	LRRFIP2	0.127683925	0.058880424
ENSG00000093183	SEC22C	-0.678267178	4.17E-09
ENSG00000093217	XYLB	-0.490184481	7.68515E-05
ENSG00000094631	HDAC6	0.566615375	4.18E-07
ENSG00000094804	CDC6	-0.636263125	1.07E-09
ENSG00000094841	UPRT	-0.109404149	0.281694741
ENSG00000094880	CDC23	-0.149135008	0.010171297
ENSG00000094914	AAAS	-0.199187351	0.002854795
ENSG00000094916	CBX5	0.018113718	0.777774275
ENSG00000094975	SUCO	0.067984822	0.259105677
ENSG00000095002	MSH2	-0.297530186	2.68833E-05
ENSG00000095015	MAP3K1	-0.002813394	0.971461122
ENSG00000095059	DHPS	-0.04057162	0.655938236
ENSG00000095066	HOOK2	0.779155816	4.38071E-05
ENSG00000095139	ARCN1	0.053116519	0.232015073
ENSG00000095203	EPB41L4B	-0.526541613	0.00023875
ENSG00000095209	TMEM38B	0.04362841	0.608854749
ENSG00000095319	NUP188	-0.067546056	0.225613547
ENSG00000095321	CRAT	0.600833927	7.33E-06
ENSG00000095380	NANS	-0.246106943	0.000750961
ENSG00000095383	TBC1D2	0.124263796	0.552546669
ENSG00000095397	DFNB31	0.419711709	0.004762143
ENSG00000095485	CWF19L1	-0.137382893	0.049071366
ENSG00000095539	SEMA4G	0.99231578	8.04722E-05
ENSG00000095564	BTAF1	-0.387146016	1.10E-06
ENSG00000095574	IKZF5	-0.37917915	0.009784813
ENSG00000095587	TLL2	-0.524869564	0.023760454
ENSG00000095596	CYP26A1	-0.399254275	0.008915242
ENSG00000095637	SORBS1	0.466203023	0.001218028
ENSG00000095739	BAMBI	0.371796835	1.19295E-05
ENSG00000095777	MYO3A	-0.029331299	0.832686604
ENSG00000095787	WAC	-0.230385218	0.000142565
ENSG00000095794	CREM	0.372851604	0.00084607
ENSG00000095906	NUBP2	0.089270655	0.204717282
ENSG00000095951	HIVEP1	0.37525544	2.92958E-05
ENSG00000096060	FKBP5	-0.448943377	0.000158581
ENSG00000096063	SRPK1	-0.522479426	4.44E-09
ENSG00000096070	BRPF3	-0.206254022	0.008776546
ENSG00000096080	MRPS18A	-0.029175644	0.734590338
ENSG00000096092	TMEM14A	0.327124385	0.007990972
ENSG00000096093	EFHC1	0.136911629	0.204242417
ENSG00000096384	HSP90AB1	-0.606549905	1.17E-11
ENSG00000096401	CDC5L	-0.011654286	0.82656563
ENSG00000096433	ITPR3	0.76138085	1.32E-06
ENSG00000096654	ZNF184	0.160588088	0.038296491
ENSG00000096696	DSP	-0.978786927	6.23E-12
ENSG00000096717	SIRT1	0.112046189	0.135189537
ENSG00000096746	HNRNPH3	0.061676382	0.577310638
ENSG00000096872	IFT74	-0.182945083	0.046949744
ENSG00000096968	JAK2	0.304320551	0.014816949
ENSG00000097007	ABL1	0.103919487	0.108802196
ENSG00000097021	ACOT7	-0.047884895	0.613398192
ENSG00000097033	SH3GLB1	-0.196859839	0.005416523
ENSG00000097046	CDC7	-0.114787841	0.055327127
ENSG00000097096	SYDE2	0.544024118	9.05E-07
ENSG00000099139	PCSK5	0.065015175	0.469639293
ENSG00000099194	SCD	0.062069219	0.161462758
ENSG00000099203	TMED1	-0.489415728	0.000234841
ENSG00000099204	ABLIM1	0.181562812	0.004067684
ENSG00000099219	ERMP1	0.195550919	0.013520821
ENSG00000099246	RAB18	-0.133676912	0.085629457
ENSG00000099250	NRP1	1.010330069	2.53E-11
ENSG00000099251	HSD17B7P2	-0.163714101	0.537727546
ENSG00000099282	TSPAN15	0.922934371	1.96E-07
ENSG00000099284	H2AFY2	-0.311699264	0.000214485
ENSG00000099290	FAM21A	0.093542585	0.412901957
ENSG00000099308	MAST3	-0.04075797	0.780668683
ENSG00000099326	MZF1	0.129969145	0.261188367
ENSG00000099330	OCEL1	1.034471114	0.00149911
ENSG00000099331	MYO9B	0.710047953	6.59E-09
ENSG00000099341	PSMD8	0.041209621	0.414258669
ENSG00000099364	FBXL19	0.082879171	0.147369014
ENSG00000099377	HSD3B7	0.863464121	0.001357796
ENSG00000099381	SETD1A	0.106803213	0.167533345
ENSG00000099385	BCL7C	0.673365714	2.11E-08
ENSG00000099622	CIRBP	-0.100733353	0.114967701
ENSG00000099624	ATP5D	0.008741085	0.927575712
ENSG00000099625	C19orf26	-0.211622666	0.216579364
ENSG00000099783	HNRNPM	-0.29590013	5.91528E-05
ENSG00000099785	2-Mar-16	0.329962987	0.00264194
ENSG00000099795	NDUFB7	-0.164863215	0.046232188
ENSG00000099797	TECR	-0.107549068	0.242078518
ENSG00000099800	TIMM13	-0.430936858	2.77E-06
ENSG00000099804	CDC34	-0.051270544	0.460006927
ENSG00000099810	MTAP	-0.663298655	1.44E-08
ENSG00000099814	CEP170B	0.541235216	4.11E-07
ENSG00000099817	POLR2E	-0.436708382	4.86E-07
ENSG00000099821	POLRMT	-0.112874091	0.131081211
